time,source_ip,destination_ip,protocol,packet_size,source_port,destination_port,service
23:23:06,13.89.179.13,10.141.108.45,TCP,66,443,60275,Unknown
23:23:06,104.16.117.55,10.141.108.45,TCP,208,443,51233,Unknown
23:23:06,104.16.117.55,10.141.108.45,TCP,66,443,51233,Unknown
23:23:06,10.141.108.114,10.141.108.45,TCP,55,53,54873,Unknown
23:23:06,10.141.108.45,104.16.117.55,TCP,66,51233,443,HTTPS
23:23:06,10.141.108.114,10.141.108.45,TCP,55,53,56004,Unknown
23:23:06,10.141.108.114,10.141.108.45,TCP,55,53,63369,Unknown
23:23:06,10.141.108.45,10.141.108.114,TCP,54,56004,53,DNS
23:23:06,10.141.108.45,10.141.108.114,TCP,54,54873,53,DNS
23:23:06,10.141.108.45,10.141.108.114,TCP,54,63369,53,DNS
23:23:06,13.89.179.13,10.141.108.45,TCP,66,443,60275,Unknown
23:23:06,10.141.108.114,10.141.108.45,TCP,215,53,54873,Unknown
23:23:06,10.141.108.114,10.141.108.45,TCP,112,53,56004,Unknown
23:23:06,10.141.108.114,10.141.108.45,TCP,311,53,63369,Unknown
23:23:06,10.141.108.45,10.141.108.114,TCP,54,61533,53,DNS
23:23:06,10.141.108.45,10.141.108.114,TCP,54,63369,53,DNS
23:23:06,10.141.108.45,10.141.108.114,TCP,54,58031,53,DNS
23:23:06,10.141.108.45,10.141.108.114,TCP,54,56004,53,DNS
23:23:06,10.141.108.45,10.141.108.114,TCP,54,62705,53,DNS
23:23:06,10.141.108.45,10.141.108.114,TCP,54,54873,53,DNS
23:23:06,10.141.108.45,104.16.117.55,TCP,192,51233,443,HTTPS
23:23:06,10.141.108.114,10.141.108.45,TCP,54,53,63369,Unknown
23:23:06,10.141.108.114,10.141.108.45,TCP,54,53,54873,Unknown
23:23:06,10.141.108.114,10.141.108.45,TCP,54,53,56004,Unknown
23:23:06,104.16.117.55,10.141.108.45,TCP,208,443,51233,Unknown
23:23:06,104.16.117.55,10.141.108.45,TCP,66,443,51233,Unknown
23:23:06,104.21.38.94,10.141.108.45,UDP,70,443,54371,Unknown
23:23:06,104.21.38.94,10.141.108.45,UDP,70,443,54371,Unknown
23:23:06,13.89.179.13,10.141.108.45,TCP,66,443,60275,Unknown
23:23:06,10.141.108.45,10.141.108.114,TCP,54,63369,53,DNS
23:23:06,10.141.108.45,10.141.108.114,TCP,54,54873,53,DNS
23:23:06,10.141.108.45,10.141.108.114,TCP,54,56004,53,DNS
23:23:06,10.141.108.45,104.16.117.55,TCP,66,51233,443,HTTPS
23:23:06,23.155.96.128,10.141.108.45,TCP,70,443,51009,Unknown
23:23:06,10.141.108.114,10.141.108.45,TCP,54,53,58031,Unknown
23:23:06,10.141.108.114,10.141.108.45,TCP,54,53,61533,Unknown
